Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
YwGomap5,27/04/2024,08:30,ENGLAND - PREMIER LEAGUE,West Ham,Liverpool,5.5,5,1.5,1.36,3.2,1.5,2.5
0p2OVcFU,27/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Fulham,Crystal Palace,2.1,3.5,3.5,1.67,2.2,1.57,2.25
Q7TUjsot,27/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Manchester Utd,Burnley,1.53,4.75,5.25,1.36,3.2,1.44,2.63
4bSYk10n,27/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Newcastle,Sheffield Utd,1.22,7,11,1.3,3.5,1.7,2.05
nsKknJaB,27/04/2024,11:00,ENGLAND - PREMIER LEAGUE,Wolves,Luton,1.95,3.8,3.6,1.62,2.3,1.53,2.38
nsbKWw0O,27/04/2024,13:30,ENGLAND - PREMIER LEAGUE,Everton,Brentford,2.4,3.5,2.8,1.8,2,1.62,2.2
hKbGXJpI,27/04/2024,16:00,ENGLAND - PREMIER LEAGUE,Aston Villa,Chelsea,2.05,4,3.25,1.4,3,1.4,2.75
rHB1J30e,27/04/2024,16:00,FRANCE - LIGUE 1,PSG,Le Havre,1.3,5.75,9,1.62,2.3,2,1.75
fBVjX5z8,27/04/2024,10:30,GERMANY - BUNDESLIGA,Augsburg,Werder Bremen,1.8,4,4,1.53,2.5,1.53,2.38
4Ky7sjbF,27/04/2024,10:30,GERMANY - BUNDESLIGA,Bayern Munich,Eintracht Frankfurt,1.44,5,6,1.36,3.2,1.5,2.5
OMi8uUSR,27/04/2024,10:30,GERMANY - BUNDESLIGA,Freiburg,Wolfsburg,2.3,3.6,2.88,1.85,2.05,1.67,2.1
rBzBtADL,27/04/2024,10:30,GERMANY - BUNDESLIGA,RB Leipzig,Dortmund,1.62,4.5,4.75,1.4,3,1.44,2.63
QVwzylyq,27/04/2024,13:30,GERMANY - BUNDESLIGA,Bayer Leverkusen,Stuttgart,1.7,4,4.5,1.57,2.38,1.57,2.25
lOXypWRg,27/04/2024,10:00,ITALY - SERIE A,Lecce,Monza,2,3.25,4,2.2,1.67,1.95,1.8
tbUTohcs,27/04/2024,13:00,ITALY - SERIE A,Juventus,AC Milan,2.1,3.3,3.6,2.07,1.83,1.8,1.95
f1YXpCCm,27/04/2024,15:45,ITALY - SERIE A,Lazio,Verona,1.62,3.8,6,2.1,1.73,2.05,1.7
GzuooH0S,27/04/2024,09:00,SPAIN - LALIGA,Las Palmas,Girona,4.5,3.8,1.75,1.73,2.1,1.67,2.1
fP6wSyfj,27/04/2024,11:15,SPAIN - LALIGA,Almeria,Getafe,2.7,3.4,2.63,2.1,1.73,1.8,1.95
fLjxmwWF,27/04/2024,13:30,SPAIN - LALIGA,Alaves,Celta Vigo,2.75,3.1,2.7,2.38,1.57,2,1.75
xptsncoM,27/04/2024,16:00,SPAIN - LALIGA,Atl. Madrid,Ath Bilbao,1.91,3.5,4.2,2,1.9,1.8,1.95
MulUvTsR,27/04/2024,12:00,ALGERIA - LIGUE 1,ASO Chlef,Magra,1.5,3.9,6,1.93,1.7,2.1,1.57
x6gaZ65l,27/04/2024,12:00,ALGERIA - LIGUE 1,Ben Aknoun,Kabylie,1.87,3.35,3.95,2.05,1.62,1.9,1.72
rkkQu9SK,27/04/2024,16:00,ALGERIA - LIGUE 1,MC Alger,Paradou,1.37,4.2,8,1.7,1.93,1.91,1.7
Od6hAHZi,27/04/2024,15:30,ANDORRA - PRIMERA DIVISIÓ,Esperanca,Carroi,2.57,3.55,2.27,1.53,2.2,1.38,2.94
GE3C8eT9,27/04/2024,14:30,ARGENTINA - PRIMERA NACIONAL,Tristan Suarez,CA Estudiantes,2.8,3,2.8,2.6,1.48,2.1,1.67
UHToNfr3,27/04/2024,15:30,ARGENTINA - PRIMERA NACIONAL,Almagro,Almirante Brown,2.15,3,4,2.88,1.4,2.25,1.57
xO489yE3,27/04/2024,16:35,ARGENTINA - PRIMERA NACIONAL,Patronato,Talleres (R.E),2.2,3.1,3.6,2.5,1.5,2.1,1.67
6qri1DLq,27/04/2024,18:00,ARGENTINA - PRIMERA NACIONAL,Nueva Chicago,CA Mitre,2.2,2.8,4.2,3.1,1.36,2.5,1.5
ADdL6ZcM,27/04/2024,18:40,ARGENTINA - PRIMERA NACIONAL,Agropecuario,San Martin T.,2.3,2.9,3.75,2.88,1.4,2.38,1.53
CtJjMEc9,27/04/2024,20:40,ARGENTINA - PRIMERA NACIONAL,Def. de Belgrano,Atletico Atlanta,2.15,3.1,4,2.6,1.48,2.2,1.62
bDq5f6XI,27/04/2024,15:00,ARGENTINA - TORNEO FEDERAL,Ciudad Bolivar,Ferro Gen. Pico,1.45,4,6.5,1.93,1.7,2.15,1.55
nmig8Sdf,27/04/2024,15:30,ARGENTINA - TORNEO FEDERAL,Deportivo Camioneros,Biblioteca Atenas,2.6,3.1,2.62,2.32,1.47,2.02,1.62
IPIT8E5e,27/04/2024,16:00,ARGENTINA - TORNEO FEDERAL,Crucero del Norte,Boca Unidos,2,3.1,3.75,2.25,1.5,2,1.65
z51WL6ri,27/04/2024,16:00,ARGENTINA - TORNEO FEDERAL,Independiente Chivilcoy,Sportivo Belgrano,1.65,3.4,5.3,2.32,1.47,2.25,1.5
pb5MAzyq,27/04/2024,20:30,ARGENTINA - TORNEO FEDERAL,Sarmiento Resistencia,Sarmiento de La Banda,2.9,3.05,2.4,2.27,1.5,1.98,1.65
UihEnkrI,27/04/2024,09:00,ARMENIA - PREMIER LEAGUE,West Armenia,Ararat-Armenia,7.1,4.65,1.33,1.57,2.12,1.9,1.86
zTcUhQ4i,27/04/2024,12:00,ARMENIA - PREMIER LEAGUE,Shirak Gyumri,Noah,5.2,3.65,1.55,1.98,1.65,2.04,1.74
h0ETyUMK,27/04/2024,04:15,AUSTRALIA - A-LEAGUE,Newcastle Jets,Central Coast Mariners,3.75,4,1.91,1.5,2.63,1.5,2.5
jTHqacKo,27/04/2024,04:15,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Macarthur FC,1.65,4.2,4.75,1.5,2.63,1.53,2.38
4zIXzlxR,27/04/2024,06:45,AUSTRALIA - A-LEAGUE,Melbourne Victory,WS Wanderers,1.83,3.8,4,1.5,2.63,1.5,2.5
ln6SmnCi,27/04/2024,02:00,AUSTRALIA - NPL ACT,O'Connor Knights,Yoogali,1.07,8.75,23,1.23,3.35,2.18,1.53
zq2OlSdo,27/04/2024,02:00,AUSTRALIA - NPL ACT,Tigers FC,Canberra Olympic,2.15,3.9,2.72,1.37,2.65,1.36,2.67
tECVcAF9,27/04/2024,01:30,AUSTRALIA - NPL NORTHERN NSW,Lambton J.,Valentine,1.36,4.33,7,1.53,2.38,1.72,1.88
K4BZdUUF,27/04/2024,03:00,AUSTRALIA - NPL NORTHERN NSW,Lake Macquarie,Edgeworth E.,8,5.25,1.25,1.3,3.4,1.57,2.12
xt6vdlpM,27/04/2024,03:30,AUSTRALIA - NPL NORTHERN NSW,Maitland,Cooks Hill United,1.65,4,3.75,1.5,2.5,1.5,2.27
z99XwPa6,27/04/2024,06:00,AUSTRALIA - NPL NSW,Hills Brumbies,St. George City,3.9,4.1,1.7,1.47,2.32,1.52,2.22
dIATv5p0,27/04/2024,06:00,AUSTRALIA - NPL NSW,Marconi Stallions,St George Saints,1.5,4.55,5,1.42,2.47,1.53,2.18
b3j5sQD8,27/04/2024,06:30,AUSTRALIA - NPL QUEENSLAND,Moreton City Excelsior,Gold Coast Knights,4.75,4.35,1.55,1.44,2.42,1.52,2.2
ATtWA4v3,27/04/2024,02:30,AUSTRALIA - NPL SOUTH AUSTRALIA,Adelaide Croatia Raiders,Para,1.62,4.4,4.05,1.35,2.7,1.42,2.47
